"<1cm","1-2cm","2-3cm","WF","Cancer","Death"
0.289163014731247,0,0,0,0,0
0.284767151103699,0.0000818215548728538,0,0.00113994104246908,0.000115642075935411,0.00305845895427056
0.280438113508692,0.000161678182205527,0.0000000375293280084619,0.00224845833528789,0.000229064552367087,0.00608566262336659
0.276174886055151,0.00023960610753441,0.000000110954759681465,0.00332620622335342,0.000340281521730964,0.00908192386871788
0.271976468295603,0.000315640949692252,0.000000218691540464816,0.00437382686476537,0.000449307777656391,0.0120475521519896
0.267841874991405,0.000389817730524819,0.000000359202161969333,0.00539195044478781,0.000556158775141761,0.0149828535872259
0.263770135881536,0.000462170884455488,0.000000530995166668269,0.00638119538618636,0.000660850592169042,0.0178881309917341
0.259760295454908,0.000532734267900129,0.000000732623980294716,0.00734216855600074,0.000763399892712498,0.020763683935746
0.255811412726138,0.000601541168534595,0.000000962685771330077,0.00827546546881173,0.000863823891098213,0.023609808790894
0.251922561014726,0.000668624314417082,0.00000121982033698762,0.00918167048656062,0.000962140317672268,0.0264267987775342
0.248092827727595,0.000734015882967619,0.0000015027090151078,0.0100613570149782,0.00105836738573665,0.0292149440109544
0.24432131414493,0.00079774750980689,0.00000181007362139441,0.0109150876966796,0.00115252375971318,0.0319745315464958
0.240607135209279,0.000859850297456559,0.00000214067541143283,0.0117434146009798,0.00124462852449682,0.0347058454236242
0.236949419317853,0.000920354823903253,0.0000024933140669435,0.0125468794104849,0.00133470115596099,0.0374091667089782
0.233347308117996,0.000979291151028293,0.00000286682670573538,0.013326013604512,0.00142276149257846,0.0400847735384271
0.229799956305747,0.00103668883290527,0.00000326008691483559,0.0140813386393904,0.00150882970812252,0.042732941158167
0.226306531427481,0.00109257692396749,0.00000367200380628261,0.0148133661256961,0.00159292628541417,0.045353941964882
0.222866213684553,0.00114698398704731,0.00000410152109508129,0.0155225980024702,0.00167507199108207,0.0479480455449998
0.219478195740917,0.00119993810128937,0.00000454761619882866,0.0162095267084717,0.00175528785130286,0.0505155187130673
0.216141682533673,0.00125146686993964,0.00000500929935853018,0.0168746353505132,0.00183359512849065,0.0530566255492723
0.212855891086486,0.00130159742801217,0.00000548561278013587,0.0175183978689285,0.00191001529890512,0.0555716274361355
0.209620050325848,0.00135035644983558,0.00000597562979633648,0.0181412792002201,0.00198457003114864,0.0580607830943988
0.20643340090013,0.00139777015648095,0.00000647845404816912,0.0187437354369326,0.00205728116552402,0.0605243486181316
0.203295195001387,0.00144386432307313,0.00000699321868599166,0.0193262139847982,0.00212817069422462,0.0629625775090783
0.200204696189869,0.00148866428598713,0.00000751908558939475,0.0198891537172008,0.0021972607423303,0.0653757207102706
0.197161179221203,0.00153219494993147,0.00000805524460562928,0.0204329851270016,0.00226457354958258,0.0677640266389234
0.194163929876198,0.00157448079492022,0.00000860091280613637,0.0209581304757719,0.00233013145291387,0.0701277412186377
0.191212244793243,0.00161554588313539,0.00000915533376077576,0.0214650039404743,0.0023939568697059,0.0724671079109285
0.188305431303248,0.00165541386568146,0.00000971777682935712,0.0219540117576367,0.00245607228175356,0.0747823677460988
0.185442807267096,0.00169410798923367,0.0000102875364700873,0.0224255523650594,0.00251650021991079,0.0770737593534773
0.182623700915568,0.00173165110258172,0.0000108639315645548,0.0228800165410969,0.00257526324939599,0.07934151899104
0.179847450691697,0.00176806566307047,0.0000114463047588815,0.0233177875415556,0.00263238395573519,0.0815858805744303
0.177113405095521,0.00180337374293938,0.0000120340218206778,0.0237392412342452,0.0026878849313216,0.0838070757053992
0.1744209225312,0.00183759703556202,0.0000126264710114481,0.0241447462312254,0.00274178876257111,0.0860053336996777
0.171769371156447,0.00187075686158743,0.0000132230624740983,0.0245346640187838,0.0027941180176536,0.0881808816143015
0.169158128734261,0.0019028741749847,0.0000138232276352062,0.0249093490851849,0.00284489523478086,0.0903339442744006
