"<1cm","1-2cm","2-3cm","WF","Cancer","Death","<1cm","1-2cm","2-3cm","WF","Cancer","Death","Surg","No comp","Comp","Cancer","Death"
0,0,0.0143738173629808,0,0,0,0,0,0,0.0145867098865478,0,0,0.152350081037277,0,0,0,0
0,0,0.0140934729716295,0.00021682994167749,0.0000150845874368286,0.0000484298622370111,0,0,0,0.0143998351736096,0.0000325920032101759,0.000154282709728016,0.0874515910727136,0.0497206660585143,0.0151778239060493,0,0
0,0,0.0138185963676987,0.000426652997145412,0.0000299613885717235,0.0000986066095650046,0,0,0,0.0142153545686373,0.0000639064143810947,0.000307448903529384,0.0501987312975426,0.0696871810519675,0.0212529262315915,0.0111877271475964,0.0000235153085792085
0,0,0.0135490809084297,0.000629641415641583,0.000044625968759992,0.000150469070149543,0,0,0,0.0140332373999961,0.0000939822962442215,0.000459490190307458,0.028814943135656,0.0740528300244941,0.022561142227708,0.0268619528556366,0.0000592127937824416
0,0,0.0132848220310053,0.000825963630954457,0.0000590742833306539,0.000203957417690337,0,0,0,0.0138534533889947,0.000122857612202111,0.000610398885350999,0.0165402775418696,0.070686880694156,0.0215116958865053,0.0435104097356874,0.000100817179058925
0,0,0.0130257172119832,0.00101578434168004,0.0000733026609534087,0.000259013148364174,0,0,0,0.0136759726448511,0.000150569256215757,0.000760167985480931,0.00949440642218523,0.0638954325888282,0.0194217374387613,0.0593935884629547,0.0001449161245478
0,0,0.0127716659275197,0.00119926458983866,0.0000873077875812712,0.00031557905804112,0,0,0,0.0135007656597232,0.000177153081892022,0.000908791144932548,0.00544995409426746,0.0559756498806588,0.0169929785341466,0.0737417911455339,0.0001897073826704
0,0,0.0125225696143709,0.00137656183788452,0.000101086690950848,0.000373599219774507,0,0,0,0.0133278033038027,0.000202643930792394,0.00105626265195271,0.00312836825272395,0.0481016436456009,0.0145833029575164,0.0863024807014605,0.00023428547997538
0,0,0.0122783316316526,0.00154783004414037,0.000114636725622763,0.000433018961565025,0,0,0,0.0131570568204719,0.000227075659983761,0.00120257740609215,0.00179573768060638,0.0408277912657327,0.01236103484885,0.097087280168924,0.00027823707316405
0,0,0.0120388572233475,0.0017132197366889,0.00012795555854526,0.000493784844399094,0,0,0,0.0129884978215228,0.000250481168851353,0.00134773089617364,0.00103078459984427,0.0343733535056228,0.0103921354343422,0.106232394851892,0.000321412645576022
0,0,0.0118040534815429,0.00187287808575193,0.000141041155124509,0.000555844640561497,0,0,0,0.0128220982824373,0.000272892425193452,0.00149171917891704,0.000591688253106841,0.0287822936469484,0.00868913515474401,0.113923165252258,0.000363798730219514
0,0,0.0115738293103854,0.00202694897458769,0.000153891765785632,0.000619147312222119,0,0,0,0.0126578305377278,0.000294340490616955,0.00163453885820309,0.000339639328058952,0.0240120736490095,0.00723829590746831,0.120354624889891,0.000405447262848922
0,0,0.0113480953907392,0.0021755730689362,0.000166505913008948,0.000683642990296488,0,0,0,0.0124956672763374,0.000314855545252399,0.00177618706495804,0.000194958869909332,0.0199821893557485,0.00601443783280344,0.125712057723449,0.00044643725536714
0,0,0.0111267641455331,0.0023188878850417,0.000178882378826375,0.000749282953579662,0,0,0,0.0123355815370995,0.000334466911806501,0.00191666143764183,0.0001119097755067,0.016600015173739,0.00498881822474014,0.130162483231968,0.000486854631323686
0,0,0.0109097497057835,0.00245702785628096,0.000191020192763418,0.000816019608152885,0,0,0,0.012177546704255,0.000353203078969868,0.00205596010332292,0.0000642381537181887,0.0137739715308627,0.00413313204068558,0.133851957147135,0.000526782164875339
0,0,0.0106969678772805,0.00259012439842543,0.000202918620212539,0.000883806467062294,0,0,0,0.0120215365030274,0.000371091724196985,0.00219408165932341,0.0000368738153073552,0.0114197029985265,0.00342137686321923,0.136905832406371,0.000566294953852885
