"<1cm","1-2cm","2-3cm","WF","Cancer","Death","<1cm","1-2cm","2-3cm","WF","Cancer","Death","Surg","No comp","Comp","Cancer","Death"
0,0.467856690991609,0,0,0,0,0,0,0,0.0144675925925926,0,0,0.025462962962963,0,0,0,0
0,0.463733579850964,0.000214593174677044,0.00291498550013075,0.000245560297552298,0.000747972168284535,0,0,0,0.0142822439270144,0.0000323258519493932,0.000153022813628771,0.0146161827376504,0.008310041384435,0.00253673884087757,0,0
0,0.459646804720481,0.000423109802782456,0.00577017431616419,0.000489214961935309,0.00152738719024555,0,0,0,0.014099269818752,0.0000633845448706524,0.000304938228969955,0.00838994260530983,0.0116471359781251,0.00355209836322428,0.00186985579567417,0.00000393022062960717
0,0.455596045379436,0.00062568506654806,0.0085664672481089,0.000730893366366054,0.00233759993114961,0,0,0,0.0139186398466397,0.0000932148225030297,0.000455737923449881,0.00481597269162966,0.0123767867754196,0.00377074646127498,0.0044895605307133,0.00000989650392537014
0,0.451580984429135,0.000822451364758784,0.0113047535996488,0.00097052873428837,0.00317797286377799,0,0,0,0.0137403239792466,0.000121854338234154,0.000605414275111828,0.0027644519226918,0.0118142203327235,0.00359534771428564,0.00727209295892706,0.0000168500343349322
0,0.447601307268043,0.0010135383683349,0.0139859113010201,0.00120805801064527,0.00404787604356488,0,0,0,0.0135642925698835,0.000149339684743316,0.000753960337965751,0.00158684339015394,0.0106791346774127,0.0032460434396393,0.00992672096380205,0.0000242204919549329
0,0.443656702067138,0.00119907307481879,0.016610807030998,0.00144342173686801,0.0049466870817859,0,0,0,0.0133905163516738,0.000175706422851366,0.000901369818067423,0.000910875651048888,0.00935546532062724,0.00284011390147884,0.0123248014308693,0.0000317066589387313
0,0.43974685974547,0.00137917986178773,0.0191802963379883,0.00167656392948085,0.00587379111688217,0,0,0,0.0132189664326876,0.000200989109598294,0.00104763705030674,0.000522858435067904,0.00803944679429407,0.00243737384684456,0.0144241266873722,0.000039157199384183
0,0.435871473945948,0.00155398053921368,0.0216952237602214,0.00190743196222291,0.00682858078400264,0,0,0,0.0130496142911381,0.000225221325569027,0.00119275697588551,0.000300129817727431,0.00682373471534003,0.00206595605592851,0.0162266393446239,0.0000465030293430951
0,0.432030241011336,0.00172359440079076,0.0241564229450458,0.00213597645159152,0.00781045618284488,0,0,0,0.0128824317706398,0.000248435701487405,0.00133672512046543,0.000172279725156203,0.00574497513402931,0.00173688492890269,0.0177551040154598,0.0000537191594150034
0,0.428222859960455,0.00188813827425063,0.0265647167673176,0.00236215114571364,0.00881882484387179,0,0,0,0.012717391075527,0.0002706639440978,0.0014795375729678,0.0000988915527441915,0.00481051583387113,0.00145225473540306,0.0190404975021443,0.0000608033388002325
0,0.424449032464605,0.00204772657068565,0.0289209174468841,0.00258591281645461,0.00985310169297958,0,0,0,0.0125544647662327,0.000291936861353301,0.0016211909650066,0.0000567654678766772,0.00401324723837242,0.00120976936377038,0.0201154166451855,0.0000677642477579696
0,0.420708462824185,0.0022024713328992,0.0312258266651593,0.00280722115467586,0.0109127090146897,0,0,0,0.0123936257547263,0.0003122843869289,0.00176168245093736,0.0000325843639202777,0.00333971432125357,0.00100522038936261,0.0210108287965191,0.0000746150919074265
0,0.417000857945525,0.00235248228280222,0.0334802356807901,0.00302603866855554,0.0119970764139355,0,0,0,0.0122348473000103,0.000331735604077629,0.00190100968850471,0.0000187039905034469,0.00277443614519716,0.0008338039128081,0.0217546486824115,0.0000813702320427959
0,0.413325927317923,0.00249786686787482,0.0356849254444105,0.00324233058488828,0.0131056407765117,0,0,0,0.0120781030036737,0.000350318768847107,0.00203917082007176,0.0000107364152207778,0.00230210659919142,0.000690789183415412,0.0223712872625494,0.0000880435025859172
0,0.409683382990878,0.00263873030671107,0.0378406667124845,0.00345606475328263,0.0142378462282527,0,0,0,0.011923366805504,0.000368061332673514,0.0021761644544151,0.00000616288870397507,0.00190862697623619,0.000571830298726086,0.0228816953443174,0.0000946474549793029
0,0.406072939551528,0.00277517563366511,0.0399482201602347,0.00366721155317672,0.0153931440930044,0,0,0,0.0117706129791534,0.000384989964369538,0.00231198964906961,0.00000353760509411742,0.00158150778707165,0.000473085551685777,0.0233036389236882,0.000101193095423237
0,0.402494314102289,0.00290730374261614,0.0420083364936575,0.00387574380359501,0.0165709928494511,0,0,0,0.0116198161278625,0.000401130571522422,0.00244664589320766,0.00000203064673127288,0.00130994142457203,0.000391236715488414,0.0236520642999686,0.000107689876202652
0,0.398947226238687,0.0030352134298695,0.0440217565606244,0.00408163667557081,0.0177708580868569,0,0,0,0.011470951180237,0.000416508321317792,0.00258013309103776,0.00000116562647257777,0.00108471313397831,0.000323459443593957,0.0239394789512208,0.000114145807697347
0,0.395431398027387,0.00315900143621097,0.0459892114610684,0.00428486760716154,0.0189922124597812,0,0,0,0.0113239933860801,0.000431147660804553,0.00271245154570798,0.000000669089828698277,0.000898041713218416,0.0002673726756162,0.0241763118651516,0.000120567619148061
0,0.391946553984413,0.00327876248813067,0.0479114226562568,0.00448541622098528,0.0202345356418228,0,0,0,0.0111789183122768,0.000445072336615706,0.00284360194370009,0.00000038406917601781,0.00074339853462114,0.000220981830961582,0.0243712375977153,0.000126960930488927
0,0.388492421053568,0.00339458933823297,0.04978910207715,0.00468326424420944,0.0214973142784484,0,0,0,0.0110357018387324,0.000458305414159587,0.00297358533970058,0.00000022046237386986,0.000615329562902765,0.000182623260760389,0.0245314592603468,0.000133330416579146
0,0.385068728585032,0.0035065728048484,0.0516229522318469,0.00487839543092398,0.0227800419389572,0,0,0,0.0108943201543619,0.000470869296295589,0.00310240314193512,0.00000012654922948068,0.000509291870677247,0.000150913408073539,0.0246629511794171,0.000139679955565595
0,0.381675208314161,0.00361480181086309,0.0534136663121187,0.00507079548683344,0.0240822190676325,0,0,0,0.0107547497531311,0.000482785741508119,0.00323005709795342,0.0000000726414544171039,0.000421509049990317,0.00012470396413639,0.0247706645487337,0.000146012758648153
0,0.378311594340462,0.00371936342178121,0.0551619282990311,0.00526045199620391,0.0254033529341306,0,0,0,0.0106169674301487,0.000494075881592121,0.00335654928085178,0.0000000416974557765898,0.000348846221241087,0.000103043187589382,0.024858700375331,0.000152331481345759
