x,y
1,0.026493799
2,0.024022346
3,0.027548209
4,0.021978022
5,0.026702997
6,0.027247956
7,0.030634573
8,0.023398329
9,0.029775281
10,0.027872582
11,0.02891845
12,0.025175644
13,0.023724792
14,0.024624625
15,0.021964613
16,0.028571429
17,0.024126984
18,0.023870968
19,0.025590551
20,0.021419009
21,0.017615176
22,0.013049451
23,0.021468144
24,0.022535211
25,0.015097052
26,0.012363636
27,0.013939839
28,0.016308377
29,0.016491754
