"<1cm","1-2cm","2-3cm","WF","Cancer","Death","<1cm","1-2cm","2-3cm","WF","Cancer","Death","Surg","No comp","Comp","Cancer","Death","<1cm","1-2cm","2-3cm","WF","Cancer","Death","<1cm","1-2cm","2-3cm","WF","Cancer","Death","Surg","No comp","Comp","Cancer","Death","<1cm","1-2cm","2-3cm","WF","Cancer","Death","<1cm","1-2cm","2-3cm","WF","Cancer","Death","Surg","No comp","Comp","Cancer","Death"
0.289163014731247,0,0,0,0,0,0,0,0,0.0151228733459357,0,0,0.00661625708884688,0,0,0,0,0,0.467856690991609,0,0,0,0,0,0,0,0.0144675925925926,0,0,0.025462962962963,0,0,0,0,0,0,0.0143738173629808,0,0,0,0,0,0,0.0145867098865478,0,0,0.152350081037277,0,0,0,0
0.284767151103699,0.0000818215548728538,0,0.00113994104246908,0.000115642075935411,0.00305845895427056,0,0,0,0.0149291296821964,0.0000337899869450595,0.000159953676794263,0.00379784641679453,0.00215926835766725,0.000659142314385098,0,0,0,0.463733579850964,0.000214593174677044,0.00291498550013075,0.000245560297552298,0.000747972168284535,0,0,0,0.0142822439270144,0.0000323258519493932,0.000153022813628771,0.0146161827376504,0.008310041384435,0.00253673884087757,0,0,0,0,0.0140934729716295,0.00021682994167749,0.0000150845874368286,0.0000484298622370111,0,0,0,0.0143998351736096,0.0000325920032101759,0.000154282709728016,0.0874515910727136,0.0497206660585143,0.0151778239060493,0,0
0.280438113508692,0.000161678182205527,0.0000000375293280084619,0.00224845833528789,0.000229064552367087,0.00608566262336659,0,0,0,0.0147378681266108,0.0000662554214209375,0.00031874979790402,0.00218002976786879,0.00302637387848859,0.00092297176923786,0.000485860450774935,0.00000102122247670838,0,0.459646804720481,0.000423109802782456,0.00577017431616419,0.000489214961935309,0.00152738719024555,0,0,0,0.014099269818752,0.0000633845448706524,0.000304938228969955,0.00838994260530983,0.0116471359781251,0.00355209836322428,0.00186985579567417,0.00000393022062960717,0,0,0.0138185963676987,0.000426652997145412,0.0000299613885717235,0.0000986066095650046,0,0,0,0.0142153545686373,0.0000639064143810947,0.000307448903529384,0.0501987312975426,0.0696871810519675,0.0212529262315915,0.0111877271475964,0.0000235153085792085
0.276174886055151,0.00023960610753441,0.000000110954759681465,0.00332620622335342,0.000340281521730964,0.00908192386871788,0,0,0,0.0145490568801472,0.0000974368019872879,0.000476379663801221,0.00125137492863792,0.00321596521815338,0.000979784954364628,0.00116656049534946,0.00000257149234149504,0,0.455596045379436,0.00062568506654806,0.0085664672481089,0.000730893366366054,0.00233759993114961,0,0,0,0.0139186398466397,0.0000932148225030297,0.000455737923449881,0.00481597269162966,0.0123767867754196,0.00377074646127498,0.0044895605307133,0.00000989650392537014,0,0,0.0135490809084297,0.000629641415641583,0.000044625968759992,0.000150469070149543,0,0,0,0.0140332373999961,0.0000939822962442215,0.000459490190307458,0.028814943135656,0.0740528300244941,0.022561142227708,0.0268619528556366,0.0000592127937824416
0.271976468295603,0.000315640949692252,0.000000218691540464816,0.00437382686476537,0.000449307777656391,0.0120475521519896,0,0,0,0.0143626645511611,0.000127373487466839,0.00063283530730782,0.000718310930934869,0.00306978881991373,0.000934209614023009,0.00188956943699909,0.00000437828697618448,0,0.451580984429135,0.000822451364758784,0.0113047535996488,0.00097052873428837,0.00317797286377799,0,0,0,0.0137403239792466,0.000121854338234154,0.000605414275111828,0.0027644519226918,0.0118142203327235,0.00359534771428564,0.00727209295892706,0.0000168500343349322,0,0,0.0132848220310053,0.000825963630954457,0.0000590742833306539,0.000203957417690337,0,0,0,0.0138534533889947,0.000122857612202111,0.000610398885350999,0.0165402775418696,0.070686880694156,0.0215116958865053,0.0435104097356874,0.000100817179058925
0.267841874991405,0.000389817730524819,0.000000359202161969333,0.00539195044478781,0.000556158775141761,0.0149828535872259,0,0,0,0.0141786601501754,0.000156103727931312,0.000788109467829002,0.000412322943102381,0.0027748499110239,0.000843446929151852,0.00257934389023349,0.00000629341533525668,0,0.447601307268043,0.0010135383683349,0.0139859113010201,0.00120805801064527,0.00404787604356488,0,0,0,0.0135642925698835,0.000149339684743316,0.000753960337965751,0.00158684339015394,0.0106791346774127,0.0032460434396393,0.00992672096380205,0.0000242204919549329,0,0,0.0130257172119832,0.00101578434168004,0.0000733026609534087,0.000259013148364174,0,0,0,0.0136759726448511,0.000150569256215757,0.000760167985480931,0.00949440642218523,0.0638954325888282,0.0194217374387613,0.0593935884629547,0.0001449161245478
0.263770135881536,0.000462170884455488,0.000000530995166668269,0.00638119538618636,0.000660850592169042,0.0178881309917341,0,0,0,0.0139970130847288,0.000183664694858018,0.000942195566348889,0.000236680526617274,0.00243090970352095,0.000737970822999829,0.00320245742627158,0.0000082386094372507,0,0.443656702067138,0.00119907307481879,0.016610807030998,0.00144342173686801,0.0049466870817859,0,0,0,0.0133905163516738,0.000175706422851366,0.000901369818067423,0.000910875651048888,0.00935546532062724,0.00284011390147884,0.0123248014308693,0.0000317066589387313,0,0,0.0127716659275197,0.00119926458983866,0.0000873077875812712,0.00031557905804112,0,0,0,0.0135007656597232,0.000177153081892022,0.000908791144932548,0.00544995409426746,0.0559756498806588,0.0169929785341466,0.0737417911455339,0.0001897073826704
0.259760295454908,0.000532734267900129,0.000000732623980294716,0.00734216855600074,0.000763399892712498,0.020763683935746,0,0,0,0.0138176931542891,0.000210092510479155,0.00109508768116752,0.00013585873067927,0.00208895747602211,0.000633323467336137,0.00374794286841499,0.0000101745463943779,0,0.43974685974547,0.00137917986178773,0.0191802963379883,0.00167656392948085,0.00587379111688217,0,0,0,0.0132189664326876,0.000200989109598294,0.00104763705030674,0.000522858435067904,0.00803944679429407,0.00243737384684456,0.0144241266873722,0.000039157199384183,0,0,0.0125225696143709,0.00137656183788452,0.000101086690950848,0.000373599219774507,0,0,0,0.0133278033038027,0.000202643930792394,0.00105626265195271,0.00312836825272395,0.0481016436456009,0.0145833029575164,0.0863024807014605,0.00023428547997538
0.255811412726138,0.000601541168534595,0.000000962685771330077,0.00827546546881173,0.000863823891098213,0.023609808790894,0,0,0,0.0136406705452319,0.000235422276345273,0.00124678052435851,0.0000779852697033641,0.00177306872136005,0.000536814840447485,0.00421630498179607,0.000012083275539914,0,0.435871473945948,0.00155398053921368,0.0216952237602214,0.00190743196222291,0.00682858078400264,0,0,0,0.0130496142911381,0.000225221325569027,0.00119275697588551,0.000300129817727431,0.00682373471534003,0.00206595605592851,0.0162266393446239,0.0000465030293430951,0,0,0.0122783316316526,0.00154783004414037,0.000114636725622763,0.000433018961565025,0,0,0,0.0131570568204719,0.000227075659983761,0.00120257740609215,0.00179573768060638,0.0408277912657327,0.01236103484885,0.097087280168924,0.00027823707316405
0.251922561014726,0.000668624314417082,0.00000121982033698762,0.00918167048656062,0.000962140317672268,0.0264267987775342,0,0,0,0.0134659158258846,0.000259688101123772,0.00139726941892734,0.0000447648985111151,0.00149276549280844,0.000451309505499376,0.00461345888836143,0.0000139583036665209,0,0.432030241011336,0.00172359440079076,0.0241564229450458,0.00213597645159152,0.00781045618284488,0,0,0,0.0128824317706398,0.000248435701487405,0.00133672512046543,0.000172279725156203,0.00574497513402931,0.00173688492890269,0.0177551040154598,0.0000537191594150034,0,0,0.0120388572233475,0.0017132197366889,0.00012795555854526,0.000493784844399094,0,0,0,0.0129884978215228,0.000250481168851353,0.00134773089617364,0.00103078459984427,0.0343733535056228,0.0103921354343422,0.106232394851892,0.000321412645576022
