x,y
1,0.02519685
2,0.03003003
3,0.052249637
4,0.049786629
5,0.035310734
6,0.024590164
7,0.039267016
8,0.020253165
9,0.024509804
10,0.03180212
11,0.022962113
12,0.032186459
13,0.036065574
14,0.03362256
15,0.035407725
16,0.035294118
17,0.025316456
18,0.038461538
19,0.028066528
20,0.028747433
21,0.035787321
22,0.029927761
23,0.027111575
24,0.033195021
25,0.019709544
26,0.02173913
27,0.032224532
28,0.030526316
29,0.025450689
